gene	type
CWC22 	HK
CWC25 	HK
CXXC1 	HK
CXXC5 	HK
CXorf40A 	HK
CXorf40B 	HK
CXorf56 	HK
CYB5B 	HK
CYB5D2 	HK
CYB5R3 	HK
CYC1 	HK
CYFIP1 	HK
CYHR1 	HK
CYP2U1 	HK
D2HGDH 	HK
DAD1 	HK
DAG1 	HK
DAGLB 	HK
DALRD3 	HK
DAP3 	HK
DARS 	HK
DARS2 	HK
DAXX 	HK
DAZAP1 	HK
DBT 	HK
DCAF10 	HK
DCAF11 	HK
DCAF12 	HK
DCAF13 	HK
DCAF5 	HK
DCAF7 	HK
DCAF8 	HK
DCAKD 	HK
DCTD 	HK
DCTN2 	HK
DCTN3 	HK
DCTN4 	HK
DCTN5 	HK
DCTN6 	HK
DCTPP1 	HK
DCUN1D3 	HK
DCUN1D4 	HK
DCUN1D5 	HK
DDA1 	HK
DDB1 	HK
DDB2 	HK
DDOST 	HK
DDRGK1 	HK
DDX1 	HK
DDX10 	HK
DDX17 	HK
DDX18 	HK
DDX19A 	HK
DDX19B 	HK
DDX21 	HK
DDX23 	HK
DDX24 	HK
DDX27 	HK
DDX39B 	HK
DDX3X 	HK
DDX41 	HK
DDX42 	HK
DDX46 	HK
DDX47 	HK
DDX49 	HK
DDX54 	HK
DDX56 	HK
DDX59 	HK
DEDD 	HK
DEF8 	HK
DEGS1 	HK
DEK 	HK
DENND1A 	HK
DENND4A 	HK
DENR 	HK
DERA 	HK
DERL1 	HK
DERL2 	HK
DESI1 	HK
DEXI 	HK
DFFA 	HK
DGCR14 	HK
DGCR2 	HK
DGCR6L 	HK
DHPS 	HK
DHRS12 	HK
DHRS7B 	HK
DHX15 	HK
DHX16 	HK
DHX29 	HK
DHX30 	HK
DHX32 	HK
DHX33 	HK
DHX36 	HK
DHX38 	HK
DHX8 	HK
DHX9 	HK
DIABLO 	HK
DIDO1 	HK
DIEXF 	HK
DIMT1 	HK
DIRC2 	HK
DIS3 	HK
DIS3L2 	HK
DKC1 	HK
DLD 	HK
DLG1 	HK
DLGAP4 	HK
DLST 	HK
DMAP1 	HK
DNAAF2 	HK
DNAJA2 	HK
DNAJA3 	HK
DNAJB11 	HK
DNAJB12 	HK
DNAJB9 	HK
DNAJC10 	HK
DNAJC11 	HK
DNAJC14 	HK
DNAJC17 	HK
DNAJC19 	HK
DNAJC2 	HK
DNAJC21 	HK
DNAJC3 	HK
DNAJC4 	HK
DNAJC5 	HK
DNAJC7 	HK
DNAJC8 	HK
DNAJC9 	HK
DNASE2 	HK
DNLZ 	HK
DNM1L 	HK
DNM2 	HK
DNTTIP1 	HK
DNTTIP2 	HK
DOHH 	HK
DOLK 	HK
DPAGT1 	HK
DPH1 	HK
DPH2 	HK
DPH3 	HK
DPH5 	HK
DPM1 	HK
DPP7 	HK
DPY30 	HK
DR1 	HK
DRAM2 	HK
DRAP1 	HK
DRG2 	HK
DROSHA 	HK
DSCR3 	HK
DTWD1 	HK
